"DATE_ID","DATE","WEEK_DAY","TEN_DAYS","FORTNIGHT","MONTH_NUMBER","MONTH","BIMESTER","QUARTER","SEMESTER","YEAR"
19701027,27/10/70,"Terça-Feira",3,2,10,"Outubro",5,3,5,1970
19701028,28/10/70,"Quarta-Feira",3,2,10,"Outubro",5,3,5,1970
19701029,29/10/70,"Quinta-Feira",3,2,10,"Outubro",5,3,5,1970
19701030,30/10/70,"Sexta-Feira",3,2,10,"Outubro",5,3,5,1970
19701031,31/10/70,"Sábado",3,2,10,"Outubro",5,3,5,1970
19701101,01/11/70,"Domingo",1,1,11,"Novembro",6,3,6,1970
19701102,02/11/70,"Segunda-Feira",1,1,11,"Novembro",6,3,6,1970
19701103,03/11/70,"Terça-Feira",1,1,11,"Novembro",6,3,6,1970
19701104,04/11/70,"Quarta-Feira",1,1,11,"Novembro",6,3,6,1970
19701105,05/11/70,"Quinta-Feira",1,1,11,"Novembro",6,3,6,1970
19701106,06/11/70,"Sexta-Feira",1,1,11,"Novembro",6,3,6,1970
19701107,07/11/70,"Sábado",1,1,11,"Novembro",6,3,6,1970
19701108,08/11/70,"Domingo",1,1,11,"Novembro",6,3,6,1970
19701109,09/11/70,"Segunda-Feira",1,1,11,"Novembro",6,3,6,1970
19701110,10/11/70,"Terça-Feira",1,1,11,"Novembro",6,3,6,1970
19701111,11/11/70,"Quarta-Feira",2,1,11,"Novembro",6,3,6,1970
19701112,12/11/70,"Quinta-Feira",2,1,11,"Novembro",6,3,6,1970
19701113,13/11/70,"Sexta-Feira",2,1,11,"Novembro",6,3,6,1970
19701114,14/11/70,"Sábado",2,1,11,"Novembro",6,3,6,1970
19701115,15/11/70,"Domingo",2,1,11,"Novembro",6,3,6,1970
19701116,16/11/70,"Segunda-Feira",2,2,11,"Novembro",6,3,6,1970
19701117,17/11/70,"Terça-Feira",2,2,11,"Novembro",6,3,6,1970
19701118,18/11/70,"Quarta-Feira",2,2,11,"Novembro",6,3,6,1970
19701119,19/11/70,"Quinta-Feira",2,2,11,"Novembro",6,3,6,1970
19701120,20/11/70,"Sexta-Feira",2,2,11,"Novembro",6,3,6,1970
19701121,21/11/70,"Sábado",3,2,11,"Novembro",6,3,6,1970
19701122,22/11/70,"Domingo",3,2,11,"Novembro",6,3,6,1970
19701123,23/11/70,"Segunda-Feira",3,2,11,"Novembro",6,3,6,1970
19701124,24/11/70,"Terça-Feira",3,2,11,"Novembro",6,3,6,1970
19701125,25/11/70,"Quarta-Feira",3,2,11,"Novembro",6,3,6,1970
19701126,26/11/70,"Quinta-Feira",3,2,11,"Novembro",6,3,6,1970
19701127,27/11/70,"Sexta-Feira",3,2,11,"Novembro",6,3,6,1970
19701128,28/11/70,"Sábado",3,2,11,"Novembro",6,3,6,1970
19701129,29/11/70,"Domingo",3,2,11,"Novembro",6,3,6,1970
19701130,30/11/70,"Segunda-Feira",3,2,11,"Novembro",6,3,6,1970
19701201,01/12/70,"Terça-Feira",1,1,12,"Dezembro",6,3,6,1970
19701202,02/12/70,"Quarta-Feira",1,1,12,"Dezembro",6,3,6,1970
19701203,03/12/70,"Quinta-Feira",1,1,12,"Dezembro",6,3,6,1970
19701204,04/12/70,"Sexta-Feira",1,1,12,"Dezembro",6,3,6,1970
19701205,05/12/70,"Sábado",1,1,12,"Dezembro",6,3,6,1970
19701206,06/12/70,"Domingo",1,1,12,"Dezembro",6,3,6,1970
19701207,07/12/70,"Segunda-Feira",1,1,12,"Dezembro",6,3,6,1970
19701208,08/12/70,"Terça-Feira",1,1,12,"Dezembro",6,3,6,1970
19701209,09/12/70,"Quarta-Feira",1,1,12,"Dezembro",6,3,6,1970
19701210,10/12/70,"Quinta-Feira",1,1,12,"Dezembro",6,3,6,1970
